trait	distance	cutoff	snp_set	Targeted_PositiveControl	enrichment	gene_set
Glucose	250000	log10 BF > 2	DHS SNPs	11	5.36	Disease + Drug
Glucose	260000	log10 BF > 2	DHS SNPs	11	5.23	Disease + Drug
Glucose	270000	log10 BF > 2	DHS SNPs	11	5.07	Disease + Drug
Glucose	280000	log10 BF > 2	DHS SNPs	11	4.97	Disease + Drug
Glucose	290000	log10 BF > 2	DHS SNPs	11	4.8	Disease + Drug
Glucose	300000	log10 BF > 2	DHS SNPs	11	4.7	Disease + Drug
Glucose	310000	log10 BF > 2	DHS SNPs	12	5.02	Disease + Drug
Glucose	320000	log10 BF > 2	DHS SNPs	12	4.9	Disease + Drug
Glucose	330000	log10 BF > 2	DHS SNPs	12	4.74	Disease + Drug
Glucose	340000	log10 BF > 2	DHS SNPs	12	4.63	Disease + Drug
Glucose	350000	log10 BF > 2	DHS SNPs	12	4.54	Disease + Drug
Glucose	360000	log10 BF > 2	DHS SNPs	12	4.45	Disease + Drug
Glucose	370000	log10 BF > 2	DHS SNPs	12	4.36	Disease + Drug
Glucose	380000	log10 BF > 2	DHS SNPs	12	4.29	Disease + Drug
Glucose	390000	log10 BF > 2	DHS SNPs	12	4.21	Disease + Drug
Glucose	400000	log10 BF > 2	DHS SNPs	12	4.13	Disease + Drug
Glucose	410000	log10 BF > 2	DHS SNPs	12	4.03	Disease + Drug
Glucose	420000	log10 BF > 2	DHS SNPs	12	3.95	Disease + Drug
Glucose	430000	log10 BF > 2	DHS SNPs	12	3.87	Disease + Drug
Glucose	440000	log10 BF > 2	DHS SNPs	12	3.8	Disease + Drug
Glucose	450000	log10 BF > 2	DHS SNPs	13	4.04	Disease + Drug
Glucose	460000	log10 BF > 2	DHS SNPs	13	3.98	Disease + Drug
Glucose	470000	log10 BF > 2	DHS SNPs	13	3.9	Disease + Drug
Glucose	480000	log10 BF > 2	DHS SNPs	13	3.83	Disease + Drug
Glucose	490000	log10 BF > 2	DHS SNPs	13	3.78	Disease + Drug
Glucose	500000	log10 BF > 2	DHS SNPs	13	3.73	Disease + Drug
Glucose	510000	log10 BF > 2	DHS SNPs	13	3.68	Disease + Drug
Glucose	520000	log10 BF > 2	DHS SNPs	13	3.61	Disease + Drug
Glucose	530000	log10 BF > 2	DHS SNPs	13	3.57	Disease + Drug
Glucose	540000	log10 BF > 2	DHS SNPs	13	3.5	Disease + Drug
Glucose	550000	log10 BF > 2	DHS SNPs	13	3.43	Disease + Drug
Glucose	560000	log10 BF > 2	DHS SNPs	13	3.39	Disease + Drug
Glucose	570000	log10 BF > 2	DHS SNPs	13	3.34	Disease + Drug
Glucose	580000	log10 BF > 2	DHS SNPs	13	3.29	Disease + Drug
Glucose	590000	log10 BF > 2	DHS SNPs	13	3.25	Disease + Drug
Glucose	600000	log10 BF > 2	DHS SNPs	13	3.18	Disease + Drug
Glucose	610000	log10 BF > 2	DHS SNPs	13	3.13	Disease + Drug
Glucose	620000	log10 BF > 2	DHS SNPs	14	3.33	Disease + Drug
Glucose	630000	log10 BF > 2	DHS SNPs	14	3.28	Disease + Drug
Glucose	640000	log10 BF > 2	DHS SNPs	14	3.23	Disease + Drug
Glucose	650000	log10 BF > 2	DHS SNPs	15	3.42	Disease + Drug
Glucose	660000	log10 BF > 2	DHS SNPs	15	3.38	Disease + Drug
Glucose	670000	log10 BF > 2	DHS SNPs	15	3.34	Disease + Drug
Glucose	680000	log10 BF > 2	DHS SNPs	15	3.3	Disease + Drug
Glucose	690000	log10 BF > 2	DHS SNPs	15	3.23	Disease + Drug
Glucose	700000	log10 BF > 2	DHS SNPs	15	3.18	Disease + Drug
Glucose	710000	log10 BF > 2	DHS SNPs	15	3.15	Disease + Drug
Glucose	720000	log10 BF > 2	DHS SNPs	15	3.12	Disease + Drug
Glucose	730000	log10 BF > 2	DHS SNPs	15	3.08	Disease + Drug
Glucose	740000	log10 BF > 2	DHS SNPs	15	3.05	Disease + Drug
Glucose	750000	log10 BF > 2	DHS SNPs	15	3	Disease + Drug
Glucose	760000	log10 BF > 2	DHS SNPs	15	2.97	Disease + Drug
Glucose	770000	log10 BF > 2	DHS SNPs	15	2.94	Disease + Drug
Glucose	780000	log10 BF > 2	DHS SNPs	15	2.9	Disease + Drug
Glucose	790000	log10 BF > 2	DHS SNPs	15	2.87	Disease + Drug
Glucose	800000	log10 BF > 2	DHS SNPs	15	2.84	Disease + Drug
Glucose	810000	log10 BF > 2	DHS SNPs	15	2.81	Disease + Drug
Glucose	820000	log10 BF > 2	DHS SNPs	15	2.79	Disease + Drug
Glucose	830000	log10 BF > 2	DHS SNPs	15	2.75	Disease + Drug
Glucose	840000	log10 BF > 2	DHS SNPs	15	2.73	Disease + Drug
Glucose	850000	log10 BF > 2	DHS SNPs	15	2.7	Disease + Drug
Glucose	860000	log10 BF > 2	DHS SNPs	16	2.85	Disease + Drug
Glucose	870000	log10 BF > 2	DHS SNPs	16	2.83	Disease + Drug
Glucose	880000	log10 BF > 2	DHS SNPs	16	2.8	Disease + Drug
Glucose	890000	log10 BF > 2	DHS SNPs	16	2.78	Disease + Drug
Glucose	900000	log10 BF > 2	DHS SNPs	16	2.74	Disease + Drug
Glucose	910000	log10 BF > 2	DHS SNPs	16	2.71	Disease + Drug
Glucose	920000	log10 BF > 2	DHS SNPs	16	2.69	Disease + Drug
Glucose	930000	log10 BF > 2	DHS SNPs	16	2.66	Disease + Drug
Glucose	940000	log10 BF > 2	DHS SNPs	16	2.65	Disease + Drug
Glucose	950000	log10 BF > 2	DHS SNPs	16	2.63	Disease + Drug
Glucose	960000	log10 BF > 2	DHS SNPs	17	2.77	Disease + Drug
Glucose	970000	log10 BF > 2	DHS SNPs	17	2.74	Disease + Drug
Glucose	980000	log10 BF > 2	DHS SNPs	17	2.73	Disease + Drug
Glucose	990000	log10 BF > 2	DHS SNPs	17	2.7	Disease + Drug
Glucose	1000000	log10 BF > 2	DHS SNPs	17	2.67	Disease + Drug
